NumPy,an array,a NumPy program,elements,,,,,,,problem_0
elements,NumPy,a NumPy program,,,,,,,,problem_0
elements,an array,a NumPy program,,,,,,,,problem_0
NumPy,an array,a NumPy program,,,,,,,,problem_0
Python,a Python function,the values,a list,between 1 and 30,both,numbers,,,,problem_1
numbers,Python,a Python function,the values,a list,both,,,,,problem_1
numbers,Python,a Python function,the values,between 1 and 30,both,,,,,problem_1
numbers,Python,a Python function,a list,between 1 and 30,both,,,,,problem_1
numbers,Python,the values,a list,between 1 and 30,both,,,,,problem_1
numbers,a Python function,the values,a list,between 1 and 30,both,,,,,problem_1
Python,a Python function,the values,a list,between 1 and 30,both,,,,,problem_1
a list,duplicates,a Python program,lists,,,,,,,problem_2
lists,a list,a Python program,,,,,,,,problem_2
lists,duplicates,a Python program,,,,,,,,problem_2
a list,duplicates,a Python program,,,,,,,,problem_2
points,a sine curve,the points,NumPy,the x and y coordinates,a NumPy program,matplotlib,,,,problem_3
matplotlib,points,a sine curve,the points,NumPy,a NumPy program,,,,,problem_3
matplotlib,points,a sine curve,the points,the x and y coordinates,a NumPy program,,,,,problem_3
matplotlib,points,a sine curve,NumPy,the x and y coordinates,a NumPy program,,,,,problem_3
matplotlib,points,the points,NumPy,the x and y coordinates,a NumPy program,,,,,problem_3
matplotlib,a sine curve,the points,NumPy,the x and y coordinates,a NumPy program,,,,,problem_3
points,a sine curve,the points,NumPy,the x and y coordinates,a NumPy program,,,,,problem_3
a given SQLite table,Python,a Python program,SQLite,,,,,,,problem_4
SQLite,a given SQLite table,a Python program,,,,,,,,problem_4
SQLite,Python,a Python program,,,,,,,,problem_4
a given SQLite table,Python,a Python program,,,,,,,,problem_4
lambda,strings,specified size,a give list,Python,a Python program,string values,,,,problem_5
string values,lambda,strings,specified size,a give list,a Python program,,,,,problem_5
string values,lambda,strings,specified size,Python,a Python program,,,,,problem_5
string values,lambda,strings,a give list,Python,a Python program,,,,,problem_5
string values,lambda,specified size,a give list,Python,a Python program,,,,,problem_5
string values,strings,specified size,a give list,Python,a Python program,,,,,problem_5
lambda,strings,specified size,a give list,Python,a Python program,,,,,problem_5
Fibonacci series upto,Fibonacci,Python,a Python program,Lambda,,,,,,problem_6
Lambda,Fibonacci series upto,Fibonacci,a Python program,,,,,,,problem_6
Lambda,Fibonacci series upto,Python,a Python program,,,,,,,problem_6
Lambda,Fibonacci,Python,a Python program,,,,,,,problem_6
Fibonacci series upto,Fibonacci,Python,a Python program,,,,,,,problem_6
unsorted numbers,Strand,Python,a Python program,Strand sort,,,,,,problem_7
Strand sort,unsorted numbers,Strand,a Python program,,,,,,,problem_7
Strand sort,unsorted numbers,Python,a Python program,,,,,,,problem_7
Strand sort,Strand,Python,a Python program,,,,,,,problem_7
unsorted numbers,Strand,Python,a Python program,,,,,,,problem_7
a specified element,a given list,Python,a Python program,every nth element,,,,,,problem_8
every nth element,a specified element,a given list,a Python program,,,,,,,problem_8
every nth element,a specified element,Python,a Python program,,,,,,,problem_8
every nth element,a given list,Python,a Python program,,,,,,,problem_8
a specified element,a given list,Python,a Python program,,,,,,,problem_8
the items,a Pivot table,Pandas,a Pandas program,the maximum and minimum sale value,,,,,,problem_9
the maximum and minimum sale value,the items,a Pivot table,a Pandas program,,,,,,,problem_9
the maximum and minimum sale value,the items,Pandas,a Pandas program,,,,,,,problem_9
the maximum and minimum sale value,a Pivot table,Pandas,a Pandas program,,,,,,,problem_9
the items,a Pivot table,Pandas,a Pandas program,,,,,,,problem_9
NumPy,a NumPy matrix,a NumPy program,upper triangular part,,,,,,,problem_10
upper triangular part,NumPy,a NumPy program,,,,,,,,problem_10
upper triangular part,a NumPy matrix,a NumPy program,,,,,,,,problem_10
NumPy,a NumPy matrix,a NumPy program,,,,,,,,problem_10
the maximum occurring character,Python,a Python program,a given string,,,,,,,problem_11
a given string,the maximum occurring character,a Python program,,,,,,,,problem_11
a given string,Python,a Python program,,,,,,,,problem_11
the maximum occurring character,Python,a Python program,,,,,,,,problem_11
the user,a given number,Python,a Python program,an appropriate message,,,,,,problem_12
an appropriate message,the user,a given number,a Python program,,,,,,,problem_12
an appropriate message,the user,Python,a Python program,,,,,,,problem_12
an appropriate message,a given number,Python,a Python program,,,,,,,problem_12
the user,a given number,Python,a Python program,,,,,,,problem_12
a new vector,two values,NumPy,a NumPy program,0,2,two,a given vector,,,problem_13
a given vector,a new vector,two values,NumPy,a NumPy program,0,two,,,,problem_13
a given vector,a new vector,two values,NumPy,a NumPy program,2,two,,,,problem_13
a given vector,a new vector,two values,NumPy,0,2,two,,,,problem_13
a given vector,a new vector,two values,a NumPy program,0,2,two,,,,problem_13
a given vector,a new vector,NumPy,a NumPy program,0,2,two,,,,problem_13
a given vector,two values,NumPy,a NumPy program,0,2,two,,,,problem_13
